tweet_id,user_id,content,posted_on,edited_on
1380588598085496832,1321412793497780225,RT @AgenciaFAPESP: #bolsasFAPESP Pesquisa realizada no Hemocentro da Universidade Estadual de Campinas @HemoUnicamp em colaboração com a @U…,2021-04-09 18:29:06,2021-04-09 18:29:06
1380588587746476037,1073312321777348608,"a unicamp nao ta aceitano nem o meu histórico e nem meu certificado de conclusão de curso

vo me m*",2021-04-09 18:29:04,2021-04-09 18:29:04
1380588571682217990,42399225,#bolsasFAPESP Pesquisa realizada no Hemocentro da Universidade Estadual de Campinas @HemoUnicamp em colaboração com… https://t.co/eSVO5hixT0,2021-04-09 18:29:00,2021-04-09 18:29:00
1380587562784468998,1307731414864089089,"RT @CNNBrasil: Rio de Janeiro vai reabrir nesta sexta-feira (9) bares e restaurantes, mas vai manter praias e cachoeiras fechadas. Segundo…",2021-04-09 18:24:59,2021-04-09 18:24:59
1380584646673584140,21951273,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 18:13:24,2021-04-09 18:13:24
1380584600712458242,15678748,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 18:13:13,2021-04-09 18:13:13
1380584397188005889,133313009,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 18:12:24,2021-04-09 18:12:24
1380584297078403077,835891816423698432,@soofiapl chorar pq? Unicamp é vestibular,2021-04-09 18:12:01,2021-04-09 18:12:01
1380583364080644101,1084694007198957570,simplesmente to nem ai pra usp e unicamp meus amores quero ir pra bh,2021-04-09 18:08:18,2021-04-09 18:08:18
1380581632755830790,1516768171,"RT @unicampoficial: Em entrevista ao Jornal da #Unicamp, José Manuel Aburto, da Universidade de Oxford, diz que países da América Latina nã…",2021-04-09 18:01:25,2021-04-09 18:01:25
1380581506901549057,1153697641362075649,"UNICAMP
Questão 81 - 1º Fase – 2018
Solução amanhã no mesmo horário.
#CEVicenteJannuzzi #Embaixadornamídia #EBEP… https://t.co/8dqcGV0nLW",2021-04-09 18:00:55,2021-04-09 18:00:55
1380581242115096588,1073217171239723014,"Soube da existência do Winnicott hoje, através de uma entrevista com o prof. da Unicamp, o Loparic. Gostei muito e… https://t.co/Negyd9Bw5i",2021-04-09 17:59:52,2021-04-09 17:59:52
1380580532065427456,880891517136666625,Concurso UNICAMP - Universidade Estadual de Campinas 2021 - Médico e Psicólogo - SP https://t.co/UdOnBjEGJk https://t.co/tKuYJHJDZt,2021-04-09 17:57:03,2021-04-09 17:57:03
1380580508732637185,1329055450076213250,"Outra obra a ser exibida é a ""Músicas, danças folclóricas e teatro popular - Raízes Afro-Brasileiras - 'O caminho é… https://t.co/EZ1dGtDLaI",2021-04-09 17:56:57,2021-04-09 17:56:57
1380579557070270477,812749468781133824,@MiniTofa e se eu desistir da unb e unicamp,2021-04-09 17:53:10,2021-04-09 17:53:10
1380579383631618049,1855257373,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 17:52:29,2021-04-09 17:52:29
1380579339582980105,3988024199,"@lelesm16 oii, vc tá sem dm!! eu acabei de passar me odonto na unicamp, pode me por em algum grupo no whatsapp por favor?? tô bem perdida",2021-04-09 17:52:19,2021-04-09 17:52:19
1380579276756549632,8236782,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 17:52:04,2021-04-09 17:52:04
1380579023730921473,268574334,"RT @leandroresende0: Pela decisão do prefeito Eduardo Paes, o carioca pode em meio à pandemia, ir pra academia de manhã, assistir uma missa…",2021-04-09 17:51:03,2021-04-09 17:51:03
1380578447769149443,2886803943,"RT @CNNBrasil: Rio de Janeiro vai reabrir nesta sexta-feira (9) bares e restaurantes, mas vai manter praias e cachoeiras fechadas. Segundo…",2021-04-09 17:48:46,2021-04-09 17:48:46
